question,candidate answer,is correct,sent_text,sent_tags,sent_tokens,nbr_text,nbr_tags,nbr_tokens,topic1,topic2
What is the normal load for second year students,Normal load for the first and second year students is 16-20 credits and for the third and fourth year students is 16-22 credits.,0,1.8474588488444226,1.7874912142101131,2.7075926262672514,0.8248274694511017,1.7874912142101131,2.7075926262672514,0.0,0.0,0.0
What is the normal load for second year students,"When a student registers for more credits than the stipulated normal load, it is called the overload.",0,0.9102392266268373,0.4306269742216893,2.0357919403645193,2.352934267515801,0.4306269742216893,2.0357919403645193,0.0,0.0,0.0
What is the normal load for second year students,Second year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 20 credits.,0,0.0,0.0,4.32808512266689,0.9102392266268373,0.0,4.32808512266689,0.0,0.0,0.0
What is the normal load for second year students,First year students cannot take any overload.,0,0.0,2.8853900817779268,2.8853900817779268,2.352934267515801,2.8853900817779268,2.8853900817779268,0.0,0.0,0.0
What is the normal load for second year students,Third and fourth year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 22 credits.,0,0.0,0.0,2.8853900817779268,0.0,0.0,2.8853900817779268,0.0,0.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript","Also, all attempts in that course will be recorded in the respective semesters’ transcripts and the repeat course will not be permitted for late drop after mid-semester examination.",0,-0.30312460825500576,3.934638547793829,5.331314782457335,-0.5889080968440537,3.934638547793829,5.331314782457335,2.188324989690197,-4.923731226802944,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript",The pass grade for the respective course will count towards the SGPA of the semester in which the course is passed and not in the semester where F’ grade was awarded.,0,0.8825241911238361,4.072567201813621,4.404997844306008,0.8825241911238361,4.072567201813621,4.404997844306008,0.0,0.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript",The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,0.0,0.2769378934088574,3.162327975186784,0.2611892565642242,0.2769378934088574,3.162327975186784,2.0,3.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript","Intensive short-term courses of 2 credits are also possible, though it is expected that the duration of such a course will be no less than 3 weeks.",0,0.7163088698776429,2.8853900817779268,2.8853900817779268,0.7163088698776429,2.8853900817779268,2.8853900817779268,0.0,3.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript",A btech student is allowed to register for online courses (OC) as regular courses (and not in the category of Independent Project (IP) or Independent Study (IS) or Undergraduate Research (UR) or btech Project (BTP)).,0,0.0,2.8853900817779268,2.8853900817779268,0.2611892565642242,2.8853900817779268,2.8853900817779268,2.0,3.0,0.0
what is the process of registration?,"Registration process has two parts: academic and administrative, and both of two parts: academic and administrative must be completed in order to complete the registration process.",0,-0.8829882253233149,1.3013411596835505,3.328138602456318,-1.0507973855877935,1.3013411596835505,3.328138602456318,-0.8339801964730854,0.8339801964730854,0.0
what is the process of registration?,"doaa (DOAA)’s office receives, processes and maintains all records relating to the undergraduate programs including curricula, courses offered, academic calendar, registration, leave, examinations, grades and award of degrees and prizes; disseminates information and issues orders pertaining to all academic matters; processes requests from students regarding academic matters.",0,1.312668831008682,0.40242960438184466,1.312668831008682,1.312668831008682,0.40242960438184466,1.312668831008682,0.0,0.0,0.0
what is the process of registration?,A student’s registration for the semester may be cancelled as part of disciplinary action.,0,0.0,1.4426950408889634,1.4426950408889634,0.40242960438184466,1.4426950408889634,1.4426950408889634,2.0,2.0,0.0
what is the process of registration?,The registration of such a student must be approved by the DOAA who will advise the student.,0,0.40242960438184466,0.40242960438184466,0.40242960438184466,0.40242960438184466,0.40242960438184466,0.40242960438184466,2.0,2.0,0.0
what is the process of registration?,Leave beyond permissible limits may also result in cancellation of registration for a semester.,0,0.40242960438184466,0.40242960438184466,0.40242960438184466,0.40242960438184466,0.40242960438184466,0.40242960438184466,2.0,2.0,0.0
how many seats are there in cse for admission?,The admission of a student may be cancelled by the Senate even at a later date if the Senate is found that a student had supplied some false information or suppressed any relevant information while seeking admission.,0,0.5,1.3869888680416589,0.5368308859488933,0.0,1.3869888680416589,0.5368308859488933,4.605170185988092,0.0,0.0
how many seats are there in cse for admission?,The total number of seats will be as decided by the Board of Governors and will be announced every year in the admission prospectus.,0,0.0,2.352934267515801,2.0008056674402104,0.43429448190325176,2.352934267515801,2.0008056674402104,1.0,2.0,0.0
how many seats are there in cse for admission?,"These are usually supernumerary, and admission for such seats is handled separately.",0,0.43429448190325176,0.43429448190325176,1.876989522792215,0.43429448190325176,0.43429448190325176,1.876989522792215,0.0,2.0,0.0
how many seats are there in cse for admission?,No change in The total number of seats will be done after the merit list for admission has been announced.,0,0.43429448190325176,1.344533708530089,0.9924051084544989,0.43429448190325176,1.344533708530089,0.9924051084544989,1.0,2.0,0.0
